City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
105,Yellowknife,CA,2021-11-24 21:19:29,62.456,-114.3525,4.41,91,90,9.22
106,Arraial Do Cabo,BR,2021-11-24 21:18:16,-22.9661,-42.0278,75.16,83,20,11.5
107,Adrar,MR,2021-11-24 21:17:45,20.5022,-10.0711,80.51,28,100,5.73
108,Barbosa Ferraz,BR,2021-11-24 21:19:30,-24.03,-52.0117,86.31,45,100,2.71
109,Te Anau,NZ,2021-11-24 21:19:30,-45.4167,167.7167,56.97,64,100,5.39
110,Alice Town,BS,2021-11-24 21:19:30,25.7167,-79.3,70.97,64,100,17.85
111,Tasiilaq,GL,2021-11-24 21:16:05,65.6145,-37.6368,26.76,87,100,8.48
112,Cockburn Town,TC,2021-11-24 21:19:31,21.4612,-71.1419,79.65,64,100,18.19
113,Uvat,RU,2021-11-24 21:19:31,59.1433,68.8953,6.3,97,94,6.58
114,Los Llanos De Aridane,ES,2021-11-24 21:19:32,28.6585,-17.9182,67.75,82,40,11.99
115,Saskylakh,RU,2021-11-24 21:19:32,71.9167,114.0833,-13.94,94,87,8.93
116,Ginda,IN,2021-11-24 21:19:33,30.6945,78.4932,45.73,30,0,6.87
117,Port Alfred,ZA,2021-11-24 21:17:19,-33.5906,26.891,61.84,74,85,10.74
118,Amahai,ID,2021-11-24 21:19:34,-3.3333,128.9167,78.93,82,84,2.98
119,Nome,US,2021-11-24 21:14:56,64.5011,-165.4064,-2.13,65,1,9.22
120,Avarua,CK,2021-11-24 21:19:35,-21.2078,-159.775,80.65,74,90,9.22
121,Dikson,RU,2021-11-24 21:19:36,73.5069,80.5464,5.79,89,100,10.02
122,Grindavik,IS,2021-11-24 21:18:12,63.8424,-22.4338,36.07,64,90,10.36
123,Ygatimi,PY,2021-11-24 21:19:37,-24.0833,-55.5,91.15,39,74,3.33
124,Bredasdorp,ZA,2021-11-24 21:19:37,-34.5322,20.0403,60.28,68,2,14.38
125,Vaitape,PF,2021-11-24 21:18:46,-16.5167,-151.75,80.94,73,7,7.18
126,Severo-Kurilsk,RU,2021-11-24 21:19:38,50.6789,156.125,37.35,98,100,17.76
127,Gatesville,US,2021-11-24 21:19:38,31.4352,-97.7439,76.95,58,90,17.27
128,Vardo,NO,2021-11-24 21:19:38,70.3705,31.1107,30.18,64,75,13.8
129,Juxtlahuaca,MX,2021-11-24 21:19:39,17.4294,-99.1467,78.98,61,51,4.83
130,Georgiyevka,KZ,2021-11-24 21:19:39,43.0369,74.7114,41.04,60,0,8.95
131,Srivardhan,IN,2021-11-24 21:19:40,18.0333,73.0167,80.02,79,100,5.19
132,Narrabri,AU,2021-11-24 21:19:40,-30.3167,149.7833,73.53,80,100,5.99
133,Tilichiki,RU,2021-11-24 21:19:41,60.4667,166.1,-1.71,97,44,6.82
134,La Romana,DO,2021-11-24 21:19:42,18.4273,-68.9728,82.13,89,75,4.61
135,Vallenar,CL,2021-11-24 21:19:42,-28.5708,-70.7581,79.81,23,0,8.52
136,Saint-Georges,GD,2021-11-24 21:19:42,12.0564,-61.7485,83.88,79,20,8.05
137,Pangnirtung,CA,2021-11-24 21:17:29,66.1451,-65.7125,19.4,73,90,6.91
138,Bethel,US,2021-11-24 21:19:43,41.3712,-73.414,43.0,46,1,1.99
139,Basco,PH,2021-11-24 21:19:44,20.4487,121.9702,77.49,80,99,26.91
140,Neiafu,TO,2021-11-24 21:20:44,-18.65,-173.9833,83.08,74,20,5.75
141,Panguna,PG,2021-11-24 21:20:44,-6.3164,155.4848,73.62,75,26,1.52
142,Atar,MR,2021-11-24 21:19:13,20.5169,-13.0499,85.77,24,100,7.78
143,Ushtobe,KZ,2021-11-24 21:20:45,45.2514,77.9838,40.55,61,76,4.54
144,San Cristobal,VE,2021-11-24 21:20:46,7.7669,-72.225,68.18,91,69,2.59
145,Chissamba,AO,2021-11-24 21:20:46,-12.1667,17.3333,64.83,88,96,3.65
146,Bathsheba,BB,2021-11-24 21:20:46,13.2167,-59.5167,81.21,78,40,10.36
147,Khatanga,RU,2021-11-24 21:20:47,71.9667,102.5,-11.09,96,38,4.7
148,Liverpool,GB,2021-11-24 21:19:13,53.4106,-2.9779,45.72,81,81,3.0
149,Formosa Do Rio Preto,BR,2021-11-24 21:20:47,-11.0483,-45.1931,80.98,60,100,3.67
150,Shingu,JP,2021-11-24 21:20:48,33.7333,135.9833,46.49,77,6,5.97
151,Magadan,RU,2021-11-24 21:20:48,59.5667,150.8,17.6,70,4,11.77
152,Lavrentiya,RU,2021-11-24 21:20:49,65.5833,-171.0,-4.88,91,24,8.01
153,Lavumisa,SZ,2021-11-24 21:20:49,-27.31,31.892,67.32,82,100,6.42
154,Upernavik,GL,2021-11-24 21:18:07,72.7868,-56.1549,27.99,94,100,30.85
155,Hami,CN,2021-11-24 21:20:50,42.8,93.45,25.97,66,15,3.15
156,Lompoc,US,2021-11-24 21:20:50,34.6391,-120.4579,75.85,42,20,14.0
157,Palmer,US,2021-11-24 21:20:51,42.1584,-72.3287,42.03,27,20,9.22
158,Elat,IL,2021-11-24 21:18:40,29.5581,34.9482,66.04,63,66,5.75
159,Mount Gambier,AU,2021-11-24 21:20:51,-37.8333,140.7667,58.24,80,31,8.88
160,Krasnyy,RU,2021-11-24 21:20:52,54.5678,31.4333,33.89,92,100,11.95
161,Kawalu,ID,2021-11-24 21:20:52,-7.3817,108.2082,72.99,97,96,0.13
162,Ola,RU,2021-11-24 21:20:53,59.5833,151.2833,12.69,80,9,11.43
163,Sinnamary,GF,2021-11-24 21:20:53,5.3833,-52.95,80.87,81,78,7.67
164,Pemangkat,ID,2021-11-24 21:20:54,1.1667,108.9667,78.48,84,100,2.19
165,La Ronge,CA,2021-11-24 21:20:55,55.1001,-105.2842,-0.15,46,75,2.3
166,Rio Claro,BR,2021-11-24 21:20:55,-22.4114,-47.5614,87.62,43,84,3.0
167,Ayan,RU,2021-11-24 21:20:55,56.45,138.1667,27.41,93,100,20.56
168,Okahandja,NA,2021-11-24 21:20:56,-21.9833,16.9167,73.71,30,0,9.4
169,Broome,US,2021-11-24 21:20:56,42.2506,-75.833,42.84,59,1,1.01
170,Jutai,BR,2021-11-24 21:20:57,-5.1833,-68.9,79.5,94,100,1.23
171,Tuktoyaktuk,CA,2021-11-24 21:20:57,69.4541,-133.0374,-23.8,69,20,6.91
172,Sola,VU,2021-11-24 21:20:57,-13.8833,167.55,81.72,73,99,20.71
173,Kostomuksha,RU,2021-11-24 21:20:58,64.571,30.5767,12.27,97,62,3.06
174,Nyurba,RU,2021-11-24 21:20:58,63.2842,118.3319,-4.38,90,100,4.72
175,Morondava,MG,2021-11-24 21:20:59,-20.2833,44.2833,78.62,82,4,7.92
176,Tuatapere,NZ,2021-11-24 21:20:59,-46.1333,167.6833,59.65,55,100,6.26
177,Chapais,CA,2021-11-24 21:21:00,49.7834,-74.8492,26.38,87,47,7.34
178,Irkutsk,RU,2021-11-24 21:19:51,52.2978,104.2964,23.77,86,40,0.0
179,Minab,IR,2021-11-24 21:21:00,27.1467,57.0801,71.1,78,0,1.77
