City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
201,George Town,MY,5.4112,100.3354,77.07,89,100,5.12,light rain
202,Kenora,CA,49.8167,-94.4337,24.85,87,100,6.58,overcast clouds
203,Ndola,ZM,-12.9587,28.6366,92.7,23,26,3.6,scattered clouds
204,Aykhal,RU,66.0,111.5,-24.09,100,98,4.9,overcast clouds
205,Anáhuac,MX,27.2333,-100.15,56.61,84,35,4.59,scattered clouds
206,Bambous Virieux,MU,-20.3428,57.7575,80.6,55,0,9.8,clear sky
207,Ancud,CL,-41.8697,-73.8203,51.6,87,70,6.35,broken clouds
208,Chiang Klang,TH,19.2938,100.8617,73.27,66,67,1.36,broken clouds
209,Auki,SB,-8.7676,160.7034,78.98,85,100,4.76,overcast clouds
210,Klaksvík,FO,62.2266,-6.589,39.79,91,85,31.23,overcast clouds
211,Leningradskiy,RU,69.3833,178.4167,-19.26,96,67,10.65,broken clouds
212,Obuasi,GH,6.206,-1.6619,88.25,54,71,3.42,broken clouds
213,Saint-Philippe,RE,-21.3585,55.7679,77.32,81,56,5.95,light rain
214,Dudinka,RU,69.4058,86.1778,-18.69,99,99,7.29,overcast clouds
215,Aklavik,CA,68.2191,-135.0107,-12.23,83,100,11.25,overcast clouds
216,Guerrero Negro,MX,27.9769,-114.0611,62.89,71,0,2.04,clear sky
217,Clyde River,CA,70.4692,-68.5914,-5.73,84,100,6.33,overcast clouds
218,Kizema,RU,61.113,44.8302,10.17,95,99,3.02,overcast clouds
219,Celestún,MX,20.8667,-90.4,74.01,84,96,6.96,overcast clouds
220,Garoowe,SO,8.4054,48.4845,91.15,12,23,20.85,few clouds
221,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,17.51,83,77,12.53,broken clouds
222,Harper,LR,4.375,-7.7169,84.18,70,46,3.65,light rain
223,Bolu Province,TR,40.6667,31.5833,68.22,40,80,23.87,broken clouds
224,Pisco,PE,-13.7,-76.2167,63.9,88,95,1.7,overcast clouds
225,Beringovskiy,RU,63.05,179.3167,8.06,95,100,7.36,overcast clouds
